,Quarter,total_sales,Lost,Won,Net,Running_Net,POS_Sales_text,Running_Net_text
0,2022-Q4,274134090.0539,18886.0,81681.0,62795.0,62795.0,$274.13M,62.8K
1,2023-Q1,443759588.7091,29175.0,57887.0,28712.0,91507.0,$443.76M,91.51K
2,2023-Q2,468869137.911,11505.0,55600.0,44095.0,135602.0,$468.87M,135.6K
3,2023-Q3,461767163.5582,10260.0,62887.0,52627.0,188229.0,$461.77M,188.23K
4,2023-Q4,459475565.3596,16501.0,22466.0,5965.0,194194.0,$459.48M,194.19K
5,2024-Q1,483181047.8017,26227.0,61179.0,34952.0,229146.0,$483.18M,229.15K
6,2024-Q2,533598571.87,11066.0,40014.0,28948.0,258094.0,$533.6M,258.09K
7,2024-Q3,546771101.64,21574.0,11984.0,-9590.0,248504.0,$546.77M,248.5K
