,year_month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,date
10,2023/09,4401577.98,207999.6,2732795.26,949278.39,10711351.93,3768276.9899999998,773270.0299999999,224623.79,100960.65999999999,10956513.76,9093083.48,246145.87,412959.01999999996,8092769.54,2683348.98,1576097.99,588037.9,1631232.68,1532571.8699999999,221353.88,1596169.3099999998,1565522.43,2847683.52,2572614.83,3074780.0,1474537.3699999999,159219.07,506660.05,1530078.93,370671.05,4318325.69,989354.58,6322620.2193,3112699.37,186945.69999999998,7268967.7599,1011564.41,702480.4,2409424.58,32856.08,220329.46,1235405.38,171041.55,1963469.41,21867754.28,1017120.46,44739.97,2767288.58,4327874.83,534623.9299999999,1517529.94,126648.18,Sep 23
11,2023/10,5228464.25,269794.01999999996,3586035.1399999997,1164798.17,13609615.209999999,5525752.71,942100.9899999999,243374.83,115236.08,13496979.3099,10979987.77,316527.13,534540.3,10027812.32,6614201.45,2456277.57,704276.7999999999,1944974.64,1872959.07,251205.39,1865836.8199999998,1904815.3699999999,3358148.4899999998,3140455.56,3566179.94,1792553.0,201976.69,624653.5,1981202.0499999998,447074.12,5061615.22,1280294.16,7602667.5098,3596721.4,241109.15,11046580.24,1290750.8499999999,908797.84,2956979.3899999997,30712.07,266988.15,1416803.8399999999,220325.39,2454180.04,34119973.07,1365818.4,61404.68,3424638.86,4790552.390000001,669636.9199999999,1880433.0099999998,167876.5,Oct 23
12,2023/11,4421653.48,203071.33,2776354.09,906550.34,11032531.469999999,4087340.42,733326.4199999999,192129.88,100950.57999999999,11049565.02,8721391.99,253905.84999999998,424292.85,7906028.97,5483737.63,1691770.56,597749.15,1518645.2,1464691.81,194423.5,1427875.81,1489133.1099999999,2655919.1199999996,2585799.35,2977527.96,1449770.97,155874.97,505606.22,1466795.14,351060.14,4031458.04,930475.6,6145890.6799,2673650.7,184961.88999999998,7664603.83,1049578.58,706759.2,2253362.7199999997,24555.81,209050.5,1067010.03,182574.47,1857595.55,23649959.490000002,1053125.0,50673.590000000004,2673903.0,3516830.67,453448.43,1481839.63,127058.31,Nov 23
13,2023/12,4462961.83,191290.88,2599489.0399999996,914498.91,10502863.42,3684496.97,696196.21,185368.54,97582.21,10655580.39,8412170.99,266054.82,400026.31,7893365.63,5529843.17,1521397.21,552120.99,1515543.8699999999,1432312.42,193240.29,1385607.21,1458139.8499999999,2662684.48,2535963.14,2932743.52,1412494.8599999999,150128.38999999998,459338.17,1384692.8599999999,338630.55,3950107.0,890807.34,6082816.21,2605079.26,171493.13999999998,7024888.49,1024101.46,668125.17,2141365.46,26212.219999999998,202989.51,1069618.08,180051.08,1770226.0799999998,21965126.06,976291.0,48411.89,2610573.81,3228341.08,404194.75,1450022.1199999999,121390.2,Dec 23
14,2024/01,5015817.59,241436.40999999997,3165682.65,1054409.29,12402546.129999999,5083779.649999999,807231.14,212534.42,122875.93000000001,12158029.049999999,9988147.25,303141.82,468143.27999999997,9594881.93,6906287.96,2378449.91,637023.52,1810773.59,1715577.9200000002,209704.86,1698110.8499999999,1719818.48,3127854.28,3076373.07,3525216.6899999995,1713481.9000000001,171697.96,530103.39,1731946.72,393970.73,4843460.55,1086109.3599999999,7337719.44,2913818.36,193565.96999999997,10583284.41,1241753.99,827067.3099999999,2529530.8,30441.67,234822.9,1133563.86,183153.95,2098355.6,31148233.479999997,1209498.2,53912.57000000001,3196249.04,3739793.37,487190.64999999997,1714941.8199999998,139751.0,Jan 24
15,2024/02,3884834.2199999997,190522.68,2556197.6399999997,883260.41,10434831.23,4068950.63,698032.98,182495.51,99054.64,10136833.62,8207211.649999999,259922.28999999998,401008.06,7630639.45,5431891.0,1521555.4,513858.29,1482837.5,1365189.76,177670.08,1401457.5,1408301.3499999999,2523357.84,2362620.61,2823980.14,1402640.78,147682.85,434911.52,1415503.01,339486.15,3944523.63,891817.01,5981602.22,2476934.51,170004.42,7676883.5,1012994.1300000001,671052.81,2065831.9,33406.09,189853.12,1006197.51,163660.93,1696790.29,25092462.32,999940.7899999999,40619.76,2681263.07,2926006.94,410120.86,1389931.98,120770.91,Feb 24
16,2024/03,5294765.77,243789.94999999998,3295752.1599999997,1156187.44,12587783.19,5480342.76,812605.5199999999,223991.68,123026.34999999999,12993452.879999999,10423495.809999999,334006.61,520773.13,10063282.909999998,7442104.0,2321071.38,684040.51,1939980.17,1908291.56,224267.47,1776912.3499999999,1724931.77,3259291.7399999998,3172975.8099999996,3762074.4499999997,1902777.61,198255.68000000002,577555.9199999999,1839517.0899999999,389619.55,4973022.37,1175473.6099999999,7605619.029999999,3014541.23,243584.08000000002,10491854.819999998,1361957.69,843605.92,2573892.34,37710.909999999996,230030.05,1298612.74,228146.08000000002,2197201.9,34546126.3617,1360054.93,51687.61,3377662.56,3490316.83,541806.1799999999,1781327.38,159215.80000000002,Mar 24
17,2024/04,4366650.35,206472.47999999998,2786299.82,995103.85,11196242.24,4350854.14,629365.97,197298.29,97319.76999999999,10299207.79,9119361.56,261981.77999999997,467358.0,8522374.15,6504215.8,1668907.8199999998,827541.03,2103429.37,1521725.63,166346.42,1431795.0699999998,1358387.6199999999,2998016.32,2487407.37,3143256.09,1547960.22,153325.49,492665.38,1593119.81,299539.69,3947884.94,962398.52,5976040.31,2344864.36,186928.04,8642650.68,1066236.52,921214.6900000001,1967906.38,34061.11,185002.06,1087580.2,179756.62000000002,2661219.24,24652143.93,1163907.6099999999,37485.06,3032838.23,3563614.92,530323.5,1937332.68,155105.43,Apr 24
18,2024/05,4458747.06,243544.61,3193319.15,1230105.32,13104371.52,4973635.88,628285.99,186914.21,105183.25,10270362.719999999,10053742.44,267977.79,581920.28,9625155.91,7706024.56,1550094.06,1300589.0399999998,3277666.57,1643715.63,168510.65,1466014.93,1344508.01,4003961.4599999995,2501361.89,3471597.3299999996,1725868.59,166343.82,602744.02,1889847.8199999998,307719.97,4031620.08,1029937.61,6109881.16,2639517.84,188641.28999999998,9784900.049999999,1150360.83,1414678.4,1998629.7299999997,36338.99,181249.84,1247075.54,177838.77,4507841.9799999995,26597834.02,1347175.96,43959.21,3638213.7199999997,4929117.46,742395.6,2858028.5799999996,218649.2,May 24
19,2024/06,5546561.079999999,301382.42,4116983.6699999995,1512096.77,16652908.829999998,6783517.239999999,781437.6399999999,239568.43,137111.31,12852626.45,12746428.569999998,343029.27999999997,750740.39,12328654.01,10056596.28,2248226.35,1699939.8199999998,4284697.779999999,2199069.59,228564.63,1790144.7,1659573.5399999998,5149723.6899999995,3100108.28,4322577.949999999,2175977.73,221304.69,797950.0499999999,2505343.38,383885.95,5167905.25,1342405.43,7779283.619999999,3377821.71,238549.53,14101334.34,1448807.41,1860015.3399999999,2581277.7199999997,46826.14,232369.69999999998,1622652.46,226658.07,6006329.749999999,37902784.4,1787401.2399999998,61119.64,4717928.34,6228541.739999999,952645.08,3761009.86,284429.91000000003,Jun 24
20,2024/07,4317931.35,239565.96999999997,3184701.1999999997,1215488.08,13413705.309999999,5089637.05,601364.14,199882.22,105896.37999999999,10299264.459999999,10086281.07,269514.68,586313.21,9569047.53,7840805.739999999,1523603.32,1304825.8299999998,3415156.7199999997,1650167.23,183844.44,1468467.68,1300005.0599999998,4100059.07,2472110.53,3160330.2399999998,1694593.88,164923.37,584910.7,1963615.94,300080.05,4178623.77,1018985.9999999999,6203283.78,2673098.91,187431.7,10424738.37,1155603.15,1442058.3299999998,2020773.44,40273.29,183916.17,1290804.24,177016.94,4641437.8,25695771.97,1385213.1099999999,47271.33,3702389.7899999996,5062179.38,748615.71,2889715.1799999997,229804.78,Jul 24
21,2024/08,4058147.52,212049.38999999998,2963340.4999999995,1164347.54,11946776.62,4409451.55,575399.38,165692.51,81627.36,9337478.1,9667708.33,230725.27,520624.04,8543550.87,7438800.4799999995,1299254.96,1203521.94,3252186.01,1471598.52,161697.25,1319664.0799999998,1146138.5,4009825.7099999995,2280178.5,3130249.59,1479528.8399999999,130256.53,537422.46,1782351.44,283553.23,3724607.58,934193.01,5672792.35,2619658.62,166325.9,9189019.17,1024656.4900000001,1241027.47,1853115.74,46357.659999999996,163406.8,1123815.41,152864.08,4464351.909999999,23898609.29,1267765.3299999998,33784.37,3541374.7699999996,4587094.22,731841.8099999999,2710548.7699999996,196028.44999999998,Aug 24
22,2024/09,5675177.16,274740.32999999996,4308424.43,1580264.1199999999,16159161.589999998,7071616.569999999,824640.37,218026.83,98833.46999999999,12334344.77,13451305.719999999,300269.41,702880.5199999999,11634475.399999999,10407646.569999998,2454223.6799999997,1767751.7699999998,4559491.789999999,2239908.53,204666.85,1678883.7999999998,1581420.5899999999,5453568.399999999,3160058.04,4404815.96,2162381.86,174729.66999999998,781312.35,2530517.46,357526.69,4777031.74,1325186.8699999999,7638797.58,3804620.6199999996,231121.78999999998,15164412.809999999,1417454.66,1766774.3099999998,2678609.34,53799.53,226368.33,1675614.44,205622.07,6907897.949999999,38736754.19,1835624.9599999997,44079.39,4921788.67,7639181.649999999,1088080.0399999998,3941500.4399999995,286229.75,Sep 24
23,2024/10,3214654.28,182879.47999999998,2721662.57,933681.08,10845644.649999999,3893574.86,486738.08999999997,116641.43,57226.66,7224944.24,8285989.75,193431.9,420062.42,7436852.66,6712856.899999999,946254.69,1117805.6099999999,2876960.34,1118340.71,105015.03,996089.62,962232.96,3544228.75,2008713.91,2634476.84,1124922.26,100231.61,442950.66,1590172.65,204494.48,2715274.31,795869.7,4643507.16,1898697.46,114696.62,8271934.13,679831.48,1120316.5599999998,1359377.28,29840.34,126449.73999999999,818655.26,120007.09,4227733.5,19432604.69,1133377.23,25159.35,2831420.8899999997,4754607.54,650061.55,2500235.56,170426.86,Oct 24
